gene_name	gene_type
Gm25227	snoRNA
Gm25168	snoRNA
Gm6060	processed_pseudogene
Gm28669	processed_pseudogene
Terf1	protein_coding
Gm37509	TEC
Sbspon	protein_coding
Gm23259	misc_RNA
Gm7634	processed_pseudogene
4930444P10Rik	protein_coding
Rpl7	protein_coding
Rdh10	protein_coding
Gm38249	TEC
Gm28095	antisense
Stau2	protein_coding
Gm7568	antisense
Ube2w	protein_coding
Gm38342	TEC
Eloc	protein_coding
D030040B21Rik	lincRNA
Gm7654	processed_pseudogene
Tmem70	protein_coding
Ly96	protein_coding
Gm29649	processed_pseudogene
Gm5828	processed_pseudogene
Gm28376	antisense
4921511E07Rik	TEC
Jph1	protein_coding
Gm28783	lincRNA
Gdap1	protein_coding
Gm28784	lincRNA
Gm28785	processed_pseudogene
Gm5251	processed_pseudogene
Rbm6-ps1	processed_pseudogene
Gm6075	processed_pseudogene
Gm25166	snoRNA
Pi15	protein_coding
Gm28154	antisense
Gm16070	antisense
Crispld1	protein_coding
Gm28153	antisense
Gm7690	processed_pseudogene
Gm18775	transcribed_unprocessed_pseudogene
Gm17969	processed_pseudogene
Gm28756	processed_transcript
Gm28755	unprocessed_pseudogene
Gm45784	transcribed_unprocessed_pseudogene
Crisp4	protein_coding
Defb44-ps	unprocessed_pseudogene
Defb18	protein_coding
Defb41	protein_coding
Gm17837	processed_pseudogene
Gm5252	processed_pseudogene
Gm24075	snoRNA
Gm28343	processed_pseudogene
Gm28344	processed_pseudogene
Gm15825	antisense
Tfap2d	protein_coding
Gm10075	processed_pseudogene
Tfap2b	protein_coding
Gm28340	lincRNA
Gm28341	processed_pseudogene
Gm4849	processed_pseudogene
Gm24633	snoRNA
Gm38382	TEC
Pkhd1	protein_coding
Gm37315	TEC
4930486I03Rik	antisense
Gm15795	processed_pseudogene
Gm24162	snRNA
Gm28653	lincRNA
Mir206	miRNA
Mir133b	miRNA
Il17a	protein_coding
Il17f	protein_coding
Mcm3	protein_coding
Gm20587	processed_pseudogene
Gm28065	lincRNA
Gm24723	snoRNA
6720483E21Rik	lincRNA
Paqr8	protein_coding
Gm24171	snoRNA
Gm28064	processed_pseudogene
Efhc1	protein_coding
Tram2	protein_coding
Gm28287	antisense
Gm2693	unprocessed_pseudogene
Tmem14a	protein_coding
Gm38224	TEC
Gsta3	protein_coding
Gm28836	antisense
Gm7094	unprocessed_pseudogene
Gm4956	transcribed_unprocessed_pseudogene
Gm21909	unprocessed_pseudogene
Khdc1a	protein_coding
Gm16329	unprocessed_pseudogene
Gm16327	processed_pseudogene
Khdc1c	protein_coding
Gm2709	unprocessed_pseudogene
Gm16533	processed_pseudogene
Khdc1b	protein_coding
Gm16328	processed_pseudogene
Kcnq5	protein_coding
Gm36949	TEC
Gm7658	processed_pseudogene
Gm38243	TEC
Gm5696	processed_pseudogene
Gm28239	processed_pseudogene
Rims1	protein_coding
Gm26866	processed_pseudogene
Gm7761	processed_pseudogene
Gm29506	sense_overlapping
Ppp1r14bl	protein_coding
Gm24176	snoRNA
Gm6420	TEC
Mir30a	miRNA
Gm27028	lincRNA
Mir30c-2	miRNA
Gm29107	lincRNA
Gm20954	processed_pseudogene
Ogfrl1	protein_coding
Gm7784	processed_pseudogene
Gm28822	lincRNA
B3gat2	protein_coding
Smap1	protein_coding
Sdhaf4	protein_coding
Gm26524	TEC
Fam135a	protein_coding
Gm37580	TEC
Gm26607	processed_pseudogene
Col9a1	protein_coding
Col19a1	protein_coding
Gm26418	snoRNA
Tubb4b-ps2	processed_pseudogene
Gm28439	unprocessed_pseudogene
Gm10222	unprocessed_pseudogene
Gm28438	unprocessed_pseudogene
Gm28437	unprocessed_pseudogene
Gm10925	unprocessed_pseudogene
Gm28661	unprocessed_pseudogene
Gm29216	unprocessed_pseudogene
Lmbrd1	protein_coding
Gm28594	processed_pseudogene
Gm28237	lincRNA
Gm9443	processed_pseudogene
Gm29414	lincRNA
Adgrb3	protein_coding
Gm15702	processed_pseudogene
Gm20172	TEC
Gm22260	snRNA
Gm37543	TEC
Gm37331	TEC
Gm37211	TEC
Gm37862	TEC
Gm38286	TEC
Gm37880	TEC
Gm25294	snRNA
Gm37011	TEC
Gm29214	processed_pseudogene
Gm37051	TEC
Gm38260	TEC
Gm37628	TEC
8030445P17Rik	TEC
Gm38198	TEC
Gm37077	TEC
Gm37895	TEC
Gm36952	TEC
Gm37602	TEC
2900022M07Rik	TEC
2900002M20Rik	TEC
Gm9884	TEC
Gm18443	processed_pseudogene
Gm19123	processed_pseudogene
Gm24064	snoRNA
4931408C20Rik	protein_coding
n-R5s209	rRNA
Gm19641	processed_pseudogene
Gm5524	lincRNA
Gm18776	processed_pseudogene
Gm19028	processed_pseudogene
Gm38089	TEC
Gm7846	processed_pseudogene
Gm597	protein_coding
Gm5697	processed_pseudogene
Gm6462	processed_pseudogene
Gm18033	processed_pseudogene
Gm25586	misc_RNA
Gm22679	miRNA
Gm23785	miRNA
Mir6342	miRNA
Gm5525	processed_pseudogene
AC125120.1	processed_pseudogene
Gm7858	processed_pseudogene
Gm23771	miRNA
Gm27430	miRNA
Gm9898	lincRNA
Gm6473	unprocessed_pseudogene
Gm2914	processed_pseudogene
Phf3	protein_coding
Gm37522	TEC
Gm37906	TEC
Ptp4a1	protein_coding
Ptp4a1	protein_coding
Gm5698	protein_coding
Gm9458	processed_pseudogene
4931428L18Rik	protein_coding
Gm28644	lincRNA
Gm27362	rRNA
Gm29128	antisense
Gm7893	processed_pseudogene
Lgsn	protein_coding
Pih1d3	protein_coding
Gm26145	snoRNA
Gm4850	processed_pseudogene
Gm28645	processed_pseudogene
Gm6489	processed_pseudogene
Eef1a1-ps2	processed_pseudogene
Gm19680	processed_pseudogene
Gm23032	snRNA
Gm7910	processed_pseudogene
Khdrbs2	protein_coding
Gm25814	snRNA
Gm37999	TEC
Gm37110	TEC
Gm37911	TEC
Gm9839	TEC
Gm37792	TEC
Gm5415	protein_coding
Gm24732	snRNA
Gm37426	TEC
Gm23024	misc_RNA
Gm37151	TEC
Gm28624	processed_pseudogene
Gm37724	lincRNA
Gm7114	processed_pseudogene
Gm4785	processed_pseudogene
Gm24901	snRNA
Gm37591	lincRNA
Gm2987	processed_pseudogene
Gm25792	snRNA
Gm18799	processed_pseudogene
Gm7933	processed_pseudogene
Gm23453	snRNA
Prim2	protein_coding
Gm29228	processed_pseudogene
Gm37618	TEC
Gm17813	processed_pseudogene
1700001G17Rik	TEC
Gm38173	TEC
Rab23	protein_coding
Bag2	protein_coding
Gm37905	TEC
Zfp451	protein_coding
Gm15455	processed_pseudogene
Bend6	protein_coding
Gm37067	TEC
Dst	protein_coding
Gm37354	TEC
Gm28631	processed_pseudogene
Gm23792	snRNA
Gm38157	TEC
Mir6896	miRNA
Gm26788	processed_transcript
A930005N03Rik	TEC
Gm37958	lincRNA
Gm37385	TEC
Gm5266	processed_pseudogene
Gm3052	transcribed_processed_pseudogene
Gm37233	lincRNA
Mir5103	miRNA
Ccdc115	protein_coding
Gm28306	antisense
Imp4	protein_coding
Ptpn18	protein_coding
Gm28417	processed_transcript
4930568A12Rik	lincRNA
Prss39	protein_coding
Gm28416	processed_pseudogene
Cfc1	protein_coding
Gm28419	processed_pseudogene
Prss40	protein_coding
1700101I19Rik	antisense
Amer3	protein_coding
Gm28418	processed_pseudogene
Gm36984	processed_pseudogene
Gm29730	processed_pseudogene
AA619741	processed_pseudogene
Arhgef4	protein_coding
Gm37224	processed_pseudogene
Gm37845	processed_pseudogene
Arhgef4	protein_coding
Gm38336	antisense
Fam168b	protein_coding
Gm37127	TEC
Plekhb2	protein_coding
Gm19430	processed_pseudogene
Gm37670	processed_pseudogene
Gm8009	processed_pseudogene
Gm38027	processed_pseudogene
Gm25096	snoRNA
Gm37068	lincRNA
Gm25634	snRNA
Gm28415	lincRNA
1110002O04Rik	lincRNA
Gm8022	processed_pseudogene
Gm37146	lincRNA
Gm33222	lincRNA
4930535G08Rik	lincRNA
Gm38049	TEC
Hs6st1	protein_coding
Gm37335	antisense
Gm33280	lincRNA
Uggt1	protein_coding
Mir6897	miRNA
Neurl3	protein_coding
Arid5a	protein_coding
4930403P22Rik	lincRNA
Kansl3	protein_coding
Mir6898	miRNA
Fer1l5	protein_coding
Lman2l	protein_coding
Cnnm4	protein_coding
Gm37909	TEC
Gm47280	miRNA
Cnnm3	protein_coding
Gm38033	antisense
Ankrd23	protein_coding
Gm42417	protein_coding
Ankrd39	protein_coding
Sema4c	protein_coding
D430040D24Rik	processed_transcript
Fam178b	protein_coding
Gm6428	processed_pseudogene
Gm24133	miRNA
Cox5b	protein_coding
Actr1b	protein_coding
4933424G06Rik	protein_coding
Gm33533	lincRNA
Zap70	protein_coding
Gm18828	transcribed_processed_pseudogene
Tmem131	protein_coding
Gm37506	TEC
Gm38115	sense_intronic
F830112A20Rik	TEC
Rpl12-ps1	processed_pseudogene
n-R5s210	rRNA
Vwa3b	protein_coding
Gm37020	antisense
Cnga3	protein_coding
1700074A21Rik	TEC
Inpp4a	protein_coding
4930439A04Rik	antisense
Gm37135	TEC
Coa5	protein_coding
Unc50	protein_coding
Mgat4a	protein_coding
4930594C11Rik	TEC
Gm43213	processed_pseudogene
2010300C02Rik	protein_coding
4930556I23Rik	antisense
4930470B04Rik	TEC
Gm19863	TEC
Tsga10	protein_coding
Gm26805	antisense
Lipt1	protein_coding
Mitd1	protein_coding
Mrpl30	protein_coding
Lyg2	protein_coding
Gm15457	antisense
Lyg1	protein_coding
Gm23409	misc_RNA
Txndc9	protein_coding
Eif5b	protein_coding
Rev1	protein_coding
Gm37062	sense_intronic
Gm5099	lincRNA
Aff3	protein_coding
Gm16150	antisense
Gm16151	antisense
Gm16152	antisense
Gm34727	processed_pseudogene
Gm38135	processed_pseudogene
2610300A13Rik	TEC
Lonrf2	protein_coding
Chst10	protein_coding
Gm37707	antisense
Gm6621	processed_pseudogene
Nms	protein_coding
Pdcl3	protein_coding
Gm37309	TEC
Gm37821	lincRNA
Gm37091	TEC
Mir6349	miRNA
Npas2	protein_coding
Gm20428	processed_pseudogene
Gm3617	processed_pseudogene
Rpl31	protein_coding
Tbc1d8	protein_coding
Gm37265	TEC
Gm24826	snoRNA
Gm24826	snoRNA
Cnot11	protein_coding
Gm15832	processed_transcript
Snord89	snoRNA
Rnf149	protein_coding
Gm23722	snoRNA
Gm5100	processed_pseudogene
Creg2	protein_coding
D930019O06Rik	antisense
Rfx8	protein_coding
Gm3646	protein_coding
1700066B17Rik	lincRNA
Map4k4	protein_coding
4930456G14Rik	TEC
Il1r2	protein_coding
Gm16894	antisense
Gm37347	TEC
Il1r1	protein_coding
Gm38070	TEC
Il1rl2	protein_coding
Gm17970	processed_pseudogene
Il1rl1	protein_coding
Il18r1	protein_coding
Il18rap	protein_coding
Gm35801	antisense
Slc9a4	protein_coding
Gm37435	TEC
Slc9a2	protein_coding
Gm37623	antisense
Gm37915	antisense
Mfsd9	protein_coding
Tmem182	protein_coding
Gm5973	processed_pseudogene
4930448I06Rik	lincRNA
Gm28634	lincRNA
Gm29260	lincRNA
Gm5267	processed_pseudogene
Gm8176	processed_pseudogene
Gm9915	lincRNA
Gm29664	lincRNA
Gm28175	lincRNA
Gm28140	lincRNA
Gm37047	TEC
Pantr1	lincRNA
4930420N18Rik	TEC
Pou3f3	protein_coding
Gm20646	sense_overlapping
Pantr2	processed_transcript
Dalir	lincRNA
Mrps9	protein_coding
Gm23126	snoRNA
Gpr45	protein_coding
Gm24001	miRNA
Tgfbrap1	protein_coding
Gm28782	antisense
8430432A02Rik	antisense
AI597479	protein_coding
Fhl2	protein_coding
Gm8210	processed_pseudogene
Gm29040	lincRNA
Gm29610	processed_pseudogene
Gm29041	processed_pseudogene
Nck2	protein_coding
Gm37536	TEC
Gm38228	TEC
Ecrg4	protein_coding
Gm29155	antisense
Gm29157	lincRNA
Gm29156	lincRNA
Uxs1	protein_coding
Gm16103	processed_pseudogene
Gm19587	processed_pseudogene
Gm8241	processed_pseudogene
Gm26352	snoRNA
Gm24180	miRNA
Tpp2	protein_coding
Mettl21c	protein_coding
Gm15838	processed_pseudogene
Gm8251	protein_coding
Tex30	protein_coding
Gm29247	processed_transcript
Poglut2	protein_coding
Bivm	protein_coding
Ercc5	protein_coding
Mettl21e	protein_coding
Gm15833	processed_pseudogene
Gm5700	processed_pseudogene
Gm28893	processed_transcript
Txn-ps1	processed_pseudogene
Gulp1	protein_coding
Gm37626	TEC
Gm16102	processed_pseudogene
4930521E06Rik	antisense
Gm38110	TEC
Gm3489	processed_pseudogene
Gm19480	processed_pseudogene
Gm3496	processed_pseudogene
Gm5268	processed_pseudogene
Col3a1	protein_coding
Gm47302	miRNA
Col5a2	protein_coding
Gm38211	TEC
Gm8296	processed_pseudogene
Gm7063	processed_pseudogene
Gm8304	processed_pseudogene
Gm23216	snRNA
Gm23974	snoRNA
Gm8307	processed_pseudogene
Gm23984	ribozyme
Wdr75	protein_coding
Gm28906	processed_pseudogene
Gm5526	processed_pseudogene
Gm5269	protein_coding
Gm18303	processed_pseudogene
Slc40a1	protein_coding
Gm9496	processed_pseudogene
Rpl23a-ps1	processed_pseudogene
Gm3852	processed_pseudogene
Stk-ps2	transcribed_processed_pseudogene
Gm18849	unprocessed_pseudogene
Dnah7b	protein_coding
n-R5s211	rRNA
Gm8326	processed_pseudogene
Dnah7c	protein_coding
Slc39a10	protein_coding
Gm28151	lincRNA
Gm37393	TEC
Gm28527	processed_pseudogene
Gm28825	processed_pseudogene
Gm28826	lincRNA
Gm4852	processed_pseudogene
Gm38090	TEC
Mir6350	miRNA
Gm18117	processed_pseudogene
Gm37196	TEC
Gm8337	processed_pseudogene
Gm22419	miRNA
Gm23829	misc_RNA
Gm19206	processed_pseudogene
Gm5974	processed_pseudogene
Gm23240	snRNA
Gm28830	processed_pseudogene
Gm8354	processed_pseudogene
Gm19124	processed_pseudogene
Gm8357	processed_pseudogene
Gm22693	miRNA
Gm28740	processed_pseudogene
Gm8367	processed_pseudogene
C230029F24Rik	lincRNA
Gm6757	processed_pseudogene
Gm3605	processed_pseudogene
Gm28388	processed_pseudogene
Gm8384	processed_pseudogene
4933411E06Rik	lincRNA
Gm8391	processed_pseudogene
Gm27330	misc_RNA
Gm29665	lincRNA
Gm20118	processed_pseudogene
Gm25843	misc_RNA
Gm28321	lincRNA
Tmeff2	protein_coding
Gm28322	lincRNA
Gm25736	miRNA
Gm28319	antisense
Gm28320	sense_intronic
Gm29325	lincRNA
9330175M20Rik	antisense
Cavin2	protein_coding
Gm5253	processed_pseudogene
1700072G22Rik	lincRNA
Nabp1	protein_coding
Gm17767	lincRNA
Gm37535	TEC
Gm28055	lincRNA
Myo1b	protein_coding
Gm29453	sense_intronic
Gm28323	sense_intronic
Gm8419	processed_pseudogene
Gm27607	snoRNA
Gm8420	processed_pseudogene
Stat4	protein_coding
Gm28177	processed_transcript
Gm3940	processed_pseudogene
Gm31812	lincRNA
Stat1	protein_coding
Gm18301	unprocessed_pseudogene
Gls	protein_coding
Gm5975	processed_pseudogene
Gm23460	snRNA
Nab1	protein_coding
Gm5976	processed_pseudogene
Rps27a-ps1	processed_pseudogene
Gm553	lincRNA
Gm28178	lincRNA
Gm5527	processed_pseudogene
Nemp2	protein_coding
Gm37242	TEC
Mfsd6	protein_coding
Gm29670	sense_intronic
Gm28650	processed_pseudogene
Inpp1	protein_coding
Hibch	protein_coding
Gm16107	processed_pseudogene
1700019D03Rik	protein_coding
Mstn	protein_coding
Gm24349	snoRNA
1700019A02Rik	protein_coding
Pms1	protein_coding
Gm28777	antisense
Ormdl1	protein_coding
Gm28778	protein_coding
Osgepl1	protein_coding
Gm28551	protein_coding
Gm18800	transcribed_unprocessed_pseudogene
Asnsd1	protein_coding
Gm50478	protein_coding
Gm28779	processed_pseudogene
Gm6799	processed_pseudogene
Gm6801	unprocessed_pseudogene
Dnah7a	protein_coding
Gm25240	miRNA
Stk17b	protein_coding
Gm37863	TEC
Hecw2	protein_coding
Mir7681	miRNA
Gm24251	snRNA
Gm37633	TEC
Gm25829	snRNA
Ccdc150	protein_coding
Gtf3c3	protein_coding
Gm34066	protein_coding
Pgap1	protein_coding
Gm36955	TEC
Gm19637	processed_pseudogene
Ankrd44	protein_coding
4930444A19Rik	antisense
Gm37370	TEC
Gm24053	miRNA
A130048G24Rik	TEC
Sf3b1	protein_coding
E330011M16Rik	TEC
Coq10b	protein_coding
Gm17971	processed_pseudogene
Hspd1	protein_coding
Hspe1	protein_coding
Gm5147	processed_pseudogene
Gm16581	processed_pseudogene
Mob4	protein_coding
Gm6822	processed_pseudogene
Rftn2	protein_coding
Gm10561	antisense
Mars2	protein_coding
Boll	protein_coding
Gm8292	processed_pseudogene
Gm29138	processed_pseudogene
Gm8531	processed_pseudogene
Plcl1	protein_coding
Gm38056	TEC
Gm6644	processed_pseudogene
Gm37382	TEC
9130227L01Rik	lincRNA
Gm36986	TEC
1700003I22Rik	lincRNA
Gm28900	processed_pseudogene
Gm28240	lincRNA
Hsfy2	protein_coding
Satb2	protein_coding
9130024F11Rik	processed_transcript
Gm4081	TEC
Gm23943	miRNA
1700126A01Rik	lincRNA
BC055402	lincRNA
Gm5254	processed_pseudogene
4930558J18Rik	lincRNA
1700066M21Rik	protein_coding
Tyw5	protein_coding
Maip1	protein_coding
Gm22371	snoRNA
Gm24014	snRNA
Gm8581	processed_pseudogene
Gm37373	TEC
Gm17929	processed_pseudogene
Spats2l	protein_coding
Gm17234	antisense
Kctd18	protein_coding
Sgo2a	protein_coding
Aox1	protein_coding
Aox3	protein_coding
Gm24548	snoRNA
Aox4	protein_coding
Gm15759	antisense
Aox2	protein_coding
Gm37607	TEC
Bzw1	protein_coding
Clk1	protein_coding
Ppil3	protein_coding
Nif3l1	protein_coding
Orc2	protein_coding
Gm23966	snRNA
Gm15834	lincRNA
Fam126b	protein_coding
Ndufb3	protein_coding
Gm29389	processed_pseudogene
Gm18802	processed_pseudogene
Cbx3-ps7	processed_pseudogene
Flacc1	protein_coding
Gm20257	transcribed_unprocessed_pseudogene
Gm28803	processed_pseudogene
Cflar	protein_coding
Gm3841	processed_pseudogene
Casp8	protein_coding
Gm37760	TEC
Gm28802	unprocessed_pseudogene
Trak2	protein_coding
Stradb	protein_coding
C2cd6	protein_coding
AC169382.1	lincRNA
Gm29018	antisense
Gm25502	snoRNA
Tmem237	protein_coding
G730003C15Rik	antisense
Mpp4	protein_coding
Gm29017	antisense
Gm19125	processed_pseudogene
Als2	protein_coding
Cdk15	protein_coding
Gm29016	lincRNA
Gm37737	TEC
Fzd7	protein_coding
Gm26813	lincRNA
Gm973	protein_coding
Gm28411	antisense
1700122D07Rik	antisense
Sumo1	protein_coding
Gm24545	misc_RNA
D430013B06Rik	TEC
Gm29596	processed_pseudogene
Nop58	protein_coding
Snord70	snoRNA
Gm26293	snoRNA
Gm26287	snoRNA
Snord11	snoRNA
Bmpr2	protein_coding
Gm38125	TEC
Gm37977	TEC
Fam117b	protein_coding
Gm37531	TEC
Gm18829	processed_pseudogene
Ica1l	protein_coding
Wdr12	protein_coding
Carf	protein_coding
Gm15464	processed_pseudogene
Nbeal1	protein_coding
Gm29332	processed_pseudogene
Cyp20a1	protein_coding
6030460B20Rik	TEC
Abi2	protein_coding
Raph1	protein_coding
Gm11575	processed_pseudogene
Gm11576	processed_pseudogene
Gm11578	processed_pseudogene
Gm38388	TEC
Gm23762	miRNA
Gm11577	processed_pseudogene
Eif4a-ps4	processed_pseudogene
Cd28	protein_coding
Gm11579	lincRNA
2310016D23Rik	lincRNA
Gm37198	TEC
Gm11609	processed_pseudogene
Gm11581	processed_pseudogene
Gm38137	TEC
Ctla4	protein_coding
Rpl18-ps1	processed_pseudogene
Gm11582	processed_pseudogene
Icos	protein_coding
Gm37039	TEC
Rpl17-ps1	processed_pseudogene
Gm11590	processed_pseudogene
Gm11591	processed_pseudogene
Gm28083	lincRNA
Gm11587	lincRNA
9530026F06Rik	lincRNA
Gm11588	lincRNA
Gm25839	snRNA
Gm28449	lincRNA
Gm36943	TEC
Gm28094	processed_pseudogene
4930587A21Rik	lincRNA
Pard3b	protein_coding
Gm37205	TEC
Gm38012	TEC
Gm38278	TEC
Pard3bos1	antisense
Gm38075	TEC
Gm29640	processed_pseudogene
Gm29641	processed_pseudogene
Pard3bos2	antisense
Gm38351	TEC
Pard3bos3	antisense
Gm29084	antisense
Gm11600	processed_pseudogene
Gm11599	processed_pseudogene
Nrp2	protein_coding
Gm29083	antisense
Gm37121	TEC
Gm4208	lincRNA
Ino80d	protein_coding
Gm44468	miRNA
Gm24942	snoRNA
Rps13-ps7	processed_pseudogene
Rps27-ps1	processed_pseudogene
Ino80dos	lincRNA
Gm20342	lincRNA
Ndufs1	protein_coding
Gm24557	miRNA
Eef1b2	protein_coding
Gm27390	misc_RNA
Gm26457	snoRNA
Gm26457	snoRNA
Snora41	snoRNA
Gpr1	protein_coding
Gm27512	miRNA
Platr12	processed_transcript
1700039I01Rik	TEC
Gm11608	lincRNA
Gm24513	miRNA
Zdbf2	protein_coding
Gm23448	snRNA
Gm11606	processed_pseudogene
Gm11605	processed_pseudogene
Adam23	protein_coding
Gm22281	snRNA
Gm39653	protein_coding
Dytn	protein_coding
Gm12748	processed_pseudogene
Mdh1b	protein_coding
Fastkd2	protein_coding
4933402D24Rik	protein_coding
Gm13751	processed_pseudogene
Gm13754	unitary_pseudogene
Gm13749	lincRNA
Klf7	protein_coding
Mir6899	miRNA
Gm13748	antisense
Gm13750	processed_pseudogene
Gm28981	lincRNA
Gm25748	miRNA
Gm28980	processed_pseudogene
Creb1	protein_coding
Mettl21a	protein_coding
Gm28982	lincRNA
Gm29152	lincRNA
2810408I11Rik	processed_transcript
Ccnyl1	protein_coding
Fzd5	protein_coding
Gm38058	TEC
Plekhm3	protein_coding
Rpl31-ps24	processed_pseudogene
Rpl10a-ps1	processed_pseudogene
Gm24788	snRNA
Akr1cl	protein_coding
Gm8550	processed_pseudogene
Cryge	protein_coding
Crygd	protein_coding
Crygc	protein_coding
Crygb	protein_coding
Gm7329	processed_pseudogene
Cryga	protein_coding
Gm28845	protein_coding
D630023F18Rik	protein_coding
Idh1	protein_coding
Pikfyve	protein_coding
Pth2r	protein_coding
Gm28927	unprocessed_pseudogene
Gm28926	unprocessed_pseudogene
Gm28925	unprocessed_pseudogene
Gm28923	processed_pseudogene
Gm28922	processed_pseudogene
Gm28728	processed_pseudogene
Gm5255	processed_pseudogene
Gm8805	processed_pseudogene
Crygf	protein_coding
Gm8809	processed_pseudogene
Gm15659	processed_pseudogene
Gm8812	processed_pseudogene
Map2	protein_coding
Gm24729	snoRNA
Gm10558	antisense
Gm25411	snRNA
Unc80	protein_coding
Gm37181	TEC
Rpe	protein_coding
Kansl1l	protein_coding
Gm37570	TEC
Gm38387	TEC
Gm38162	TEC
Gm15789	processed_pseudogene
6820402A03Rik	TEC
Gm37285	TEC
Gm37755	TEC
Gm38218	TEC
Acadl	protein_coding
