Sample_ID	Source	Library	Filename
E0771_m8	Tumor	msurfeov2	NKscreen_S7F11_trim_v2_align_count_v2.txt
E0771_m8	Spleen	msurfeov2	NKscreen_S7F12_trim_v2_align_count_v2.txt
E0771_m9	Tumor	msurfeov2	NKscreen_S8F01_trim_v2_align_count_v2.txt
E0771_m9	Spleen	msurfeov2	NKscreen_S8F02_trim_v2_align_count_v2.txt
E0771_m10	Tumor	msurfeov2	NKscreen_S8F03_trim_v2_align_count_v2.txt
E0771_m10	Spleen	msurfeov2	NKscreen_S8F04_trim_v2_align_count_v2.txt
E0771_m11	Spleen	msurfeov2	NKscreen_S8F05_trim_v2_align_count_v2.txt
E0771_m12	Spleen	msurfeov2	NKscreen_S8F06_trim_v2_align_count_v2.txt
Ctrl_c1	Culture	msurfeov2	NKscreen_S8F07_trim_v2_align_count_v2.txt
Ctrl_c2	Culture	msurfeov2	NKscreen_S8F08_trim_v2_align_count_v2.txt
Ctrl_c3	Culture	msurfeov2	NKscreen_S8F09_trim_v2_align_count_v2.txt
Ctrl_c4	Culture	msurfeov2	NKscreen_S8F10_trim_v2_align_count_v2.txt
Pano2_m1	Tumor	msurfeov2	NKscreen_S1F01_trim_v2_align_count_v2.txt
Pano2_m1	Spleen	msurfeov2	NKscreen_S1F02_trim_v2_align_count_v2.txt
Pano2_m2	Tumor	msurfeov2	NKscreen_S1F03_trim_v2_align_count_v2.txt
Pano2_m2	Spleen	msurfeov2	NKscreen_S1F04_trim_v2_align_count_v2.txt
Pano2_m3	Tumor	msurfeov2	NKscreen_S1F05_trim_v2_align_count_v2.txt
Pano2_m3	Spleen	msurfeov2	NKscreen_S1F06_trim_v2_align_count_v2.txt
Pano2_m4	Tumor	msurfeov2	NKscreen_S1F07_trim_v2_align_count_v2.txt
Pano2_m4	Spleen	msurfeov2	NKscreen_S1F08_trim_v2_align_count_v2.txt
Pano2_m5	Tumor	msurfeov2	NKscreen_S1F09_trim_v2_align_count_v2.txt
Pano2_m5	Spleen	msurfeov2	NKscreen_S1F10_trim_v2_align_count_v2.txt
Pano2_m6	Tumor	msurfeov2	NKscreen_S1F11_trim_v2_align_count_v2.txt
Pano2_m6	Spleen	msurfeov2	NKscreen_S1F12_trim_v2_align_count_v2.txt
Pano2_m7	Tumor	msurfeov2	NKscreen_S2F01_trim_v2_align_count_v2.txt
Pano2_m7	Spleen	msurfeov2	NKscreen_S2F02_trim_v2_align_count_v2.txt
Pano2_m8	Spleen	PBS	NKscreen_S2F03_trim_v2_align_count_v2.txt
Pano2_m9	Spleen	PBS	NKscreen_S2F04_trim_v2_align_count_v2.txt
GL261_m1	Tumor	msurfeov2	NKscreen_S2F05_trim_v2_align_count_v2.txt
GL261_m1	Spleen	msurfeov2	NKscreen_S2F06_trim_v2_align_count_v2.txt
GL261_m2	Tumor	msurfeov2	NKscreen_S2F07_trim_v2_align_count_v2.txt
GL261_m2	Spleen	msurfeov2	NKscreen_S2F08_trim_v2_align_count_v2.txt
GL261_m3	Tumor	msurfeov2	NKscreen_S2F09_trim_v2_align_count_v2.txt
GL261_m3	Spleen	msurfeov2	NKscreen_S2F10_trim_v2_align_count_v2.txt
GL261_m4	Tumor	msurfeov2	NKscreen_S2F11_trim_v2_align_count_v2.txt
GL261_m4	Spleen	msurfeov2	NKscreen_S2F12_trim_v2_align_count_v2.txt
GL261_m5	Tumor	msurfeov2	NKscreen_S3F01_trim_v2_align_count_v2.txt
GL261_m5	Spleen	msurfeov2	NKscreen_S3F02_trim_v2_align_count_v2.txt
GL261_m6	Tumor	msurfeov2	NKscreen_S3F03_trim_v2_align_count_v2.txt
GL261_m6	Spleen	msurfeov2	NKscreen_S3F04_trim_v2_align_count_v2.txt
GL261_m7	Tumor	msurfeov2	NKscreen_S3F05_trim_v2_align_count_v2.txt
GL261_m7	Spleen	msurfeov2	NKscreen_S3F06_trim_v2_align_count_v2.txt
GL261_m8	Tumor	msurfeov2	NKscreen_S3F07_trim_v2_align_count_v2.txt
GL261_m8	Spleen	msurfeov2	NKscreen_S3F08_trim_v2_align_count_v2.txt
GL261_m9	Tumor	msurfeov2	NKscreen_S3F09_trim_v2_align_count_v2.txt
GL261_m9	Spleen	msurfeov2	NKscreen_S3F10_trim_v2_align_count_v2.txt
GL261_m10	Tumor	msurfeov2	NKscreen_S3F11_trim_v2_align_count_v2.txt
GL261_m10	Spleen	msurfeov2	NKscreen_S3F12_trim_v2_align_count_v2.txt
GL261_m11	Tumor	msurfeov2	NKscreen_S4F01_trim_v2_align_count_v2.txt
GL261_m11	Spleen	msurfeov2	NKscreen_S4F02_trim_v2_align_count_v2.txt
GL261_m12	Spleen	PBS	NKscreen_S4F03_trim_v2_align_count_v2.txt
GL261_m13	Spleen	PBS	NKscreen_S4F04_trim_v2_align_count_v2.txt
Ctrl_c5	Culture	msurfeov2	NKscreen_S4F05_trim_v2_align_count_v2.txt
Ctrl_c6	Culture	msurfeov2	NKscreen_S4F06_trim_v2_align_count_v2.txt
Ctrl_c7	Culture	msurfeov2	NKscreen_S4F07_trim_v2_align_count_v2.txt
